DATA_VALUE_1_DAY
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;0.6783;0.1989;0.0472;0.0115;0.3369;0.088
Timescale;0.1071;0.0845;0.0125;0.0367;0.2048;0.024
InfluxDB;0.3211;0.1114;0.1887;0.0915;0.2187;0.0082



DATA_VALUE_1_MONTH
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;15.6474;2.6071;0.0422;0.0039;0.3362;0.0887
Timescale;1.1307;0.1299;0.0785;0.0258;0.2072;0.024
InfluxDB;11.6418;0.7513;0.2822;0.0376;0.2189;0.0083



DATA_VALUE_1_WEEK
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;3.8768;0.7333;0.0397;0.0055;0.3373;0.0876
Timescale;0.3622;0.0635;0.015;0.0342;0.2041;0.0242
InfluxDB;2.2548;0.1223;0.1721;0.037;0.2188;0.0081



DATA_VALUE_1_YEAR
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;195.2156;28.2438;0.0376;0.003;0.3336;0.087
Timescale;14.1363;1.432;0.1598;0.0112;0.2091;0.0268



SENSORIDS_1_DAY
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;0.1264;0.0324;0.0441;0.0112;0.336;0.0877
Timescale;0.1211;0.0431;0.2716;0.063;0.2082;0.0253
InfluxDB;0.0124;0.0028;0.0;0.0;0.0;0.0



SENSORIDS_1_MONTH
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;1.74;0.2794;0.0126;0.0103;0.3366;0.0856
Timescale;0.3855;0.085;0.266;0.0728;0.2059;0.0252
InfluxDB;0.0653;0.0116;0.0034;0.0343;0.0023;0.023



SENSORIDS_1_WEEK
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;0.4653;0.1118;0.0429;0.012;0.3359;0.0878
Timescale;0.1975;0.0493;0.2661;0.0724;0.2078;0.0249
InfluxDB;0.0209;0.0053;0.0;0.0;0.0;0.0



SENSORIDS_1_YEAR
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;18.1091;3.2572;0.0031;0.0083;0.3365;0.0856
Timescale;2.0232;0.2202;0.0969;0.0856;0.2046;0.0248



VALUES_OF_SENSOR_1_DAY
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;0.2709;0.1176;0.004;0.0082;0.337;0.0858
Timescale;0.0717;0.0437;0.0123;0.04;0.2036;0.0315
InfluxDB;0.0762;0.0154;0.1255;0.1695;0.0793;0.1058



VALUES_OF_SENSOR_1_MONTH
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;4.2288;0.6154;0.0253;0.0039;0.3372;0.0856
Timescale;0.0521;0.0272;0.0105;0.0337;0.2053;0.0241
InfluxDB;1.7357;0.121;0.2868;0.0427;0.2188;0.0082



VALUES_OF_SENSOR_1_WEEK
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;0.9604;0.1956;0.0094;0.0101;0.3371;0.0856
Timescale;0.0553;0.033;0.0124;0.04;0.2035;0.0316
InfluxDB;0.3728;0.0586;0.3412;0.0611;0.2189;0.0083



VALUES_OF_SENSOR_1_YEAR
;Durchschnitt;;Höchstwerte;;Tiefstwerte
Datenbank;M;SD;M;SD;M;SD
OwnDB;36.1134;4.3152;0.0156;0.0014;0.3356;0.0863
Timescale;0.0508;0.0232;0.0107;0.0337;0.2053;0.0239



